sotu,isZoonotic,maxTaxonDistance,maxDiversity,numUniqueTaxOrders
u883540,True,0,0,1
u23264,True,0,0,1
u436299,True,0,0,0
u350772,True,0,0,0
u987572,True,12.0,2.421726391577581,3
u131345,True,0,0,0
u97714,True,0,0,0
u236284,True,0,0,0
u135168,True,0,0,0
u6438,True,0,0,1
u853061,True,0,0,0
u266872,True,0,0,0
u245564,True,0,0,0
u135661,True,0,0,0
u215418,True,0,0,0
u57410,True,0,0,0
u685229,True,0,0,0
u968483,True,0,0,0
u714854,True,0,0,0
u230585,True,0,0,0
u130249,True,0,0,0
u946442,True,0,0,0
u11550,True,0,0,0
u64094,True,0,0,0
u684408,True,0,0,0
u773284,True,0,0,0
u883959,True,0,0,0
u99287,True,0,0,1
u140522,True,0,0,0
u227542,True,0,0,0
u265050,True,0,0,0
u96358,True,0,0,0
u899296,True,0,0,0
u688747,True,0,0,0
u843595,True,0,0,0
u1036577,True,0,0,0
u712143,True,0,0,0
u259712,True,0,0,0
u198165,True,0,0,0
u11435,True,0,0,1
u622542,True,0,0,0
u1053892,True,0,0,0
u994615,True,0,0,0
u1054761,True,0,0,0
u236419,True,0,0,0
u993885,True,0,0,0
u547944,True,0,0,0
u179645,True,0,0,0
u142278,True,0,0,0
u173580,True,0,0,0
u1075117,True,0,0,0
u867909,True,0,0,0
u731707,True,0,0,0
u933646,True,0,0,0
u798111,True,0,0,0
u689532,True,0,0,0
u933647,True,0,0,0
u77705,True,0,0,0
u870411,True,0,0,0
u880467,True,0,0,0
u828768,True,0,0,0
u59849,True,0,0,0
u97371,True,0,0,0
u191348,True,0,0,0
u275103,True,0,0,0
u292569,True,0,0,0
u134036,True,0,0,0
u368715,True,0,0,0
u696081,True,0,0,0
u482954,True,0,0,0
u236372,True,0,0,0
u238089,True,0,0,0
u293151,True,0,0,0
u18285,True,0,0,1
u850318,True,0,0,0
u964814,True,0,0,0
u691725,True,0,0,0
u401579,True,0,0,0
u163316,True,0,0,1
u891749,True,0,0,0
u592303,True,0,0,1
u118068,True,0,0,1
