sotu,isZoonotic,maxTaxonDistance,maxDiversity,numUniqueTaxOrders
u516043,True,0,0,0
u914141,True,0,0,1
u406775,True,0,0,0
u475080,True,0,0,0
u13577,True,0,0,1
u637708,True,0,0,0
u186534,True,0,0,0
u334369,True,0,0,0
u25341,True,0,0,0
u125778,True,0,0,0
u42720,True,0,0,0
u25133,False,0,0,0
u8238,False,37.0,5.715341008508217,7
u821211,False,0,0,1
u19341,True,0,0,1
u230586,True,36.0,3.587138816354881,5
u22583,True,0,0,1
u16704,True,42.0,6.396251412346764,10
u829404,True,0,0,1
u1058528,True,0,0,1
u781489,True,30.0,1.9975271811229272,2
u16596,True,0,0,0
u6346,False,26.0,2.3137923010435717,3
u1008085,True,0,0,0
u935062,True,0,0,0
u85830,True,0,0,0
u698555,True,0,0,1
u217468,True,0,0,1
u4842,True,32.0,2.7226284927618094,4
u6381,False,0,0,1
u23780,False,0,0,0
u614350,False,0,0,0
u488146,False,0,0,0
u863136,False,0,0,0
u734031,False,0,0,0
u885735,False,32.0,2.9860931940719544,3
u6152,False,30.0,5.82739558086611,9
u3632,False,4.0,1.4188422247446084,2
u15161,False,0,0,1
u287350,False,0,0,0
u307751,False,0,0,0
u783410,True,0,0,0
u840779,True,0,0,0
u769573,True,0,0,0
u663748,True,0,0,0
u712577,True,0,0,0
u145364,True,0,0,0
u921774,True,0,0,1
u1035166,True,0,0,0
u26638,True,0,0,1
u25668,True,0,0,1
u623499,True,0,0,0
u273894,True,0,0,1
u1054502,True,0,0,0
u133030,True,0,0,0
u1010387,True,0,0,0
u852907,True,0,0,0
u516495,True,0,0,1
u594738,True,0,0,0
u716720,True,0,0,0
u118111,True,0,0,0
u99033,True,0,0,0
u94624,True,0,0,1
u665602,True,0,0,0
u759354,True,0,0,1
u278017,True,0,0,0
u197266,True,0,0,0
u251755,True,0,0,0
u488449,True,0,0,0
u197235,True,0,0,0
u25022,True,35.0,2.9836202585227936,3
u130032,True,0,0,0
u113609,True,0,0,0
u955792,True,0,0,0
u632416,True,0,0,1
u703398,True,0,0,1
u1070879,True,0,0,0
u16688,True,0,0,0
u12737,True,0,0,1
u63187,True,21.0,1.981721842176049,2
u23964,True,11.0,1.8417913294768142,2
u218034,True,0,0,1
u181959,True,0,0,1
u123944,True,13.0,2.562586368698529,3
u710664,True,0,0,0
u884170,True,0,0,0
u903542,True,0,0,0
u772614,True,0,0,0
u879538,True,0,0,0
u242765,True,29.0,1.9969099315511079,2
u216153,True,0,0,0
u25666,True,0,0,0
u906969,True,0,0,1
u477937,True,0,0,0
u557424,True,0,0,0
u639572,True,0,0,0
u604911,True,0,0,0
u291146,True,36.0,4.327462732924095,5
u547955,True,0,0,0
u127846,True,3.0,1.3227513227513226,2
u181218,True,0,0,0
u694014,True,12.0,1.8713984759669997,2
u1052321,True,0,0,0
u218174,True,0,0,0
u833002,True,0,0,0
u867966,True,0,0,0
u739669,True,0,0,0
u747745,True,0,0,0
u133261,True,0,0,0
u811886,True,0,0,0
u950481,True,0,0,0
u565422,True,0,0,0
u165183,True,0,0,0
u54781,True,0,0,1
u126467,True,28.0,3.227924872166167,4
u937773,True,0,0,0
u910073,True,0,0,0
u97022,True,0,0,0
u840738,True,0,0,0
u776492,True,0,0,0
u509861,True,0,0,0
u296287,True,0,0,0
u191609,True,0,0,0
u1015003,True,0,0,0
u176060,True,0,0,0
u451195,True,0,0,0
u230477,True,0,0,1
u523488,True,0,0,0
u185108,True,0,0,0
u127577,True,0,0,0
u82504,True,0,0,0
u590865,True,0,0,0
u184946,True,0,0,1
u55400,True,0,0,0
u499655,True,0,0,0
u726993,True,0,0,0
u465710,True,0,0,0
u820616,True,0,0,1
u131402,True,0,0,1
u166714,True,37.0,2.985289638987316,3
u179725,True,0,0,0
u155578,True,0,0,0
u71199,True,29.0,2.86399933512,3
u104103,True,0,0,0
u835542,True,0,0,0
u676232,True,0,0,0
u644637,True,0,0,0
u575788,True,0,0,0
u351616,True,2.0,1.219512195121951,2
u443602,True,0,0,0
u318910,True,0,0,0
u124810,True,0,0,0
u983706,True,0,0,0
u106572,True,0,0,0
u864352,True,0,0,0
u82622,True,0,0,0
