appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u658409,"['Palmprint', 'SOTU']",SOTU,11047,False,nan,no rank,0,Nidovirales,Nidovirales,0.0,193,0,u658409,1.0,0.0
u1300,"['Palmprint', 'SOTU']",SOTU,11587,True,nan,no rank,34,Bunyavirales,Bunyavirales,0.0,215,1,,,
u10830,"['Palmprint', 'SOTU']",SOTU,40051,False,nan,species,11,Reovirales,Reovirales,0.0,19,0,u10830,1.0,0.0
u22180,"['Palmprint', 'SOTU']",SOTU,40051,False,nan,species,11,Reovirales,Reovirales,0.0,19,0,,,
u17980,"['Palmprint', 'SOTU']",SOTU,40051,False,nan,species,11,Reovirales,Reovirales,1.0,19,0,,,
u17071,"['Palmprint', 'SOTU']",SOTU,40051,False,nan,species,11,Reovirales,Reovirales,0.0,19,0,u17071,3.0,0.0
u29006,"['Palmprint', 'SOTU']",SOTU,10366,False,nan,species,35,Herpesvirales,Herpesvirales,0.0,113,2,,,
u8807,"['Palmprint', 'SOTU']",SOTU,144752,False,nan,species,0,Bunyavirales,Bunyavirales,0.0,282,0,,,
u29504,"['Palmprint', 'SOTU']",SOTU,59305,False,nan,species,0,Martellivirales,Martellivirales,1.0,193,0,u29504,1.0,0.0
u574468,"['Palmprint', 'SOTU']",SOTU,11020,True,nan,species,36,Martellivirales,Martellivirales,0.0,116,3,,,
u8107,"['Palmprint', 'SOTU']",SOTU,11020,True,nan,species,0,Martellivirales,Martellivirales,1.0,193,0,,,
u111830,"['Palmprint', 'SOTU']",SOTU,31631,False,nan,no rank,0,Nidovirales,Nidovirales,0.0,282,0,u111830,3.0,0.0
u7986,"['Palmprint', 'SOTU']",SOTU,31631,False,nan,no rank,0,Nidovirales,Nidovirales,9.0,399,0,u7986,58.0,40.0
u4758,"['Palmprint', 'SOTU']",SOTU,64305,False,nan,species,0,Amarillovirales,Amarillovirales,0.0,208,0,,,
u602,"['Palmprint', 'SOTU']",SOTU,118655,True,nan,no rank,1,Bunyavirales,Bunyavirales,0.0,164,1,u602,4.0,0.0
u21664,"['Palmprint', 'SOTU']",SOTU,380438,False,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,857,0,,,
u4543,"['Palmprint', 'SOTU']",SOTU,1239566,False,nan,species,0,Stellavirales,Stellavirales,1.0,282,0,u4543,9.0,10.0
u1030256,"['Palmprint', 'SOTU']",SOTU,1239566,False,nan,species,37,Stellavirales,Stellavirales,0.0,124,4,,,
u164307,"['Palmprint', 'SOTU']",SOTU,1239574,False,nan,species,0,Stellavirales,Stellavirales,1.0,282,0,u164307,9.0,10.0
u8520,"['Palmprint', 'SOTU']",SOTU,1239574,False,nan,species,0,Stellavirales,Stellavirales,0.0,193,0,u8520,2.0,0.0
u810483,"['Palmprint', 'SOTU']",SOTU,62352,False,nan,no rank,38,Reovirales,Reovirales,0.0,127,5,,,
u5828,"['Palmprint', 'SOTU']",SOTU,1972568,False,nan,species,0,Mononegavirales,Mononegavirales,0.0,857,0,,,
u452313,"['Palmprint', 'SOTU']",SOTU,1972568,False,nan,species,39,Mononegavirales,Mononegavirales,0.0,129,6,,,
