appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,zoonoticColorCodes,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u29504,"['Palmprint', 'SOTU']",SOTU,59305,False,nan,species,32,Martellivirales,u29504,0.5024659680674385,193.0,0,10,u29504,1.0,0.0
u574468,"['Palmprint', 'SOTU']",SOTU,11020,True,nan,species,60,Martellivirales,u574468,0.15000000000000002,116.0,1,5,,,
u8107,"['Palmprint', 'SOTU']",SOTU,11020,True,nan,species,32,Martellivirales,u8107,0.29505348697606043,193.0,1,10,,,
u111830,"['Palmprint', 'SOTU']",SOTU,31631,False,nan,no rank,61,Nidovirales,u111830,0.15000000000000002,118.0,0,6,u111830,1.0,0.0
u7986,"['Palmprint', 'SOTU']",SOTU,31631,False,nan,no rank,62,Nidovirales,u7986,0.15000000000000002,119.0,0,7,u7986,51.0,30.0
u4758,"['Palmprint', 'SOTU']",SOTU,64305,False,nan,species,2,Amarillovirales,u4758,0.16382017230036525,208.0,0,2,,,
u602,"['Palmprint', 'SOTU']",SOTU,118655,True,nan,no rank,1,Bunyavirales,u602,0.18735322084407532,24.0,1,1,u602,5.0,0.0
u21664,"['Palmprint', 'SOTU']",SOTU,380438,False,nan,no rank,0,Mononegavirales,u21664,0.19497714628382273,163.0,0,0,,,
u4543,"['Palmprint', 'SOTU']",SOTU,1239566,False,nan,species,63,Stellavirales,u4543,0.2148483585075561,126.0,0,8,u4543,5.0,0.0
u1030256,"['Palmprint', 'SOTU']",SOTU,1239566,False,nan,species,64,Stellavirales,u1030256,0.15000000000000002,124.0,0,9,,,
u164307,"['Palmprint', 'SOTU']",SOTU,1239574,False,nan,species,65,Stellavirales,u164307,0.15000000000000002,125.0,0,10,u164307,8.0,10.0
u8520,"['Palmprint', 'SOTU']",SOTU,1239574,False,nan,species,66,Stellavirales,u8520,0.22654233235781085,126.0,0,0,u8520,1.0,0.0
u810483,"['Palmprint', 'SOTU']",SOTU,62352,False,nan,no rank,67,Reovirales,u810483,0.15000000000000002,127.0,0,1,,,
u5828,"['Palmprint', 'SOTU']",SOTU,1972568,False,nan,species,0,Mononegavirales,u5828,0.2578302849027255,163.0,0,0,,,
u452313,"['Palmprint', 'SOTU']",SOTU,1972568,False,nan,species,68,Mononegavirales,u452313,0.15000000000000002,129.0,0,2,u452313,1.0,0.0
u7423,"['Palmprint', 'SOTU']",SOTU,64280,False,nan,species,2,Amarillovirales,u7423,0.44951003424186814,208.0,0,2,,,
u238237,"['Palmprint', 'SOTU']",SOTU,37124,True,nan,species,32,Martellivirales,u238237,0.15633977900552487,193.0,1,10,u238237,3.0,0.0
u975858,"['Palmprint', 'SOTU']",SOTU,138949,True,nan,species,69,Picornavirales,u975858,0.15000000000000002,132.0,1,3,u975858,1.0,0.0
u3824,"['Palmprint', 'SOTU']",SOTU,44026,False,nan,species,2,Amarillovirales,u3824,0.4732921615383352,208.0,0,2,,,
u6349,"['Palmprint', 'SOTU']",SOTU,80939,True,nan,no rank,1,Bunyavirales,u6349,0.1606311608488925,24.0,1,1,,,
u18583,"['Palmprint', 'SOTU']",SOTU,1176484,False,nan,species,70,Picornavirales,u18583,0.1949015121368882,135.0,0,4,u18583,2.0,0.0
u4902,"['Palmprint', 'SOTU']",SOTU,1176484,False,nan,species,8,Picornavirales,u4902,0.15000000000000002,135.0,0,8,u4902,1.0,0.0
u811277,"['Palmprint', 'SOTU']",SOTU,1176484,False,nan,species,71,Picornavirales,u811277,0.15000000000000002,137.0,0,5,u811277,4.0,0.0
u8555,"['Palmprint', 'SOTU']",SOTU,59300,True,nan,species,32,Martellivirales,u8555,0.15977242830833993,193.0,1,10,u8555,12.0,10.0
u466536,"['Palmprint', 'SOTU']",SOTU,59300,True,nan,species,72,Martellivirales,u466536,0.15000000000000002,139.0,1,6,,,
